PLATFORM,ARGOS_ID,DATE (YYYY/MM/DD HH:MI:SS),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,PARAMETER,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,25.5,26.168,39.182,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,27.5,23.346,38.795,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,29.3,22.58,38.723,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,31.6,21.655,38.674,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,33.6,21.22,38.681,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,35.3,20.926,38.733,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,37.5,20.708,38.819,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,39.6,20.415,38.858,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,41.5,20.067,38.838,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,43.5,19.836,38.84,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,45.4,19.605,38.841,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,47.4,19.319,38.828,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,49.4,19.073,38.818,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,51.1,18.907,38.818,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,53.4,18.8,38.848,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,55.6,18.579,38.82,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,57.5,18.349,38.802,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,59.4,18.307,38.812,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,61.2,18.276,38.856,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
6903270,777923,2019/09/13 20:58:30,32.4806,33.8593,63.1,18.259,38.873,00111111,PRES,PRES,Primary sampling: averaged [10 sec sampling, 25 dbar average from 700 dbar to 700 dbar; 10 sec sampling, 10 dbar average from 700 dbar to 100 dbar; 10 sec sampling, 2 dbar average from 100 dbar to 2.8 dbar],1
