Site,Age (Ma),Genus,d18O,d13C
849,0.4160,CIB,3.45,0.27
607,0.4162,CIB,4.74,-0.76
607,0.4179,CIB,4.82,-0.92
806,0.4180,CIB,3.03,0.25
659,0.4190,CIB,3.87,
607,0.4198,CIB,4.96,-0.59
806,0.4200,CIB,4.46,-0.45
849,0.4200,CIB,3.55,0.28
659,0.4230,CIB,3.47,
806,0.4230,CIB,3.62,-0.09
849,0.4240,CIB,4.13,-0.02
806,0.4250,CIB,3.73,-0.17
659,0.4260,CIB,4.88,
607,0.4271,CIB,4.70,-0.77
806,0.4280,CIB,4.65,-0.33
849,0.4280,CIB,4.79,-0.36
659,0.4300,CIB,4.56,
806,0.4310,CIB,4.67,-0.33
607,0.4312,CIB,4.45,-0.58
659,0.4320,CIB,5.18,
849,0.4320,CIB,4.86,-0.37
607,0.4344,CIB,4.76,-0.42
659,0.4360,CIB,5.21,
806,0.4360,CIB,4.57,-0.34
849,0.4360,CIB,4.90,-0.35
607,0.4380,CIB,4.68,-0.28
659,0.4400,CIB,5.05,
849,0.4400,CIB,4.89,-0.34
806,0.4410,CIB,4.27,-0.23
607,0.4417,CIB,4.69,-0.38
659,0.4440,CIB,4.83,
849,0.4440,CIB,4.71,-0.28
806,0.4450,CIB,4.43,-0.40
607,0.4453,CIB,4.63,-0.36
659,0.4470,CIB,4.80,
849,0.4480,CIB,4.56,-0.19
806,0.4500,CIB,4.25,-0.46
659,0.4520,CIB,5.01,
849,0.4520,CIB,4.58,-0.28
607,0.4526,CIB,4.27,-0.28
806,0.4540,CIB,4.11,-0.25
607,0.4545,CIB,3.91,0.31
659,0.4550,CIB,4.81,
849,0.4560,CIB,4.61,-0.37
607,0.4577,CIB,4.03,-0.45
806,0.4600,CIB,4.15,-0.23
849,0.4600,CIB,4.54,-0.27
659,0.4610,CIB,4.77,
607,0.4613,CIB,4.37,-0.08
806,0.4640,CIB,4.20,-0.23
849,0.4640,CIB,4.46,-0.20
607,0.4645,CIB,4.43,0.59
607,0.4650,CIB,4.20,0.75
659,0.4670,CIB,4.38,
849,0.4680,CIB,4.33,-0.20
607,0.4686,CIB,3.99,0.79
806,0.4690,CIB,4.61,-0.14
659,0.4710,CIB,4.67,
659,0.4710,CIB,4.92,
849,0.4720,CIB,4.22,-0.23
607,0.4723,CIB,3.76,0.86
806,0.4740,CIB,4.14,-0.18
659,0.4750,CIB,3.85,
607,0.4759,CIB,3.52,1.14
849,0.4760,CIB,4.20,-0.18
806,0.4780,CIB,4.02,0.11
607,0.4795,CIB,3.83,0.94
659,0.4800,CIB,4.41,
849,0.4800,CIB,4.11,0.04
659,0.4810,CIB,4.32,
659,0.4820,CIB,3.92,
659,0.4830,CIB,3.95,
806,0.4830,CIB,3.63,0.27
849,0.4840,CIB,3.84,0.27
607,0.4849,CIB,3.79,0.80
659,0.4850,CIB,3.86,
659,0.4850,CIB,4.12,
659,0.4870,CIB,3.77,
806,0.4880,CIB,3.28,0.31
849,0.4880,CIB,3.71,0.43
659,0.4900,CIB,3.45,
607,0.4914,CIB,3.97,0.45
806,0.4920,CIB,3.57,0.20
849,0.4920,CIB,3.63,0.57
659,0.4930,CIB,3.95,
659,0.4950,CIB,3.54,
849,0.4960,CIB,3.66,0.45
806,0.4970,CIB,3.64,0.11
607,0.4973,CIB,4.24,-0.01
659,0.4980,CIB,3.70,
849,0.5000,CIB,3.79,0.33
659,0.5010,CIB,3.89,
806,0.5020,CIB,3.75,0.25
659,0.5030,CIB,3.92,
849,0.5040,CIB,3.90,0.26
659,0.5050,CIB,4.11,
607,0.5058,CIB,4.58,0.24
806,0.5060,CIB,3.64,0.14
659,0.5080,CIB,3.93,
849,0.5080,CIB,3.95,0.22
659,0.5110,CIB,4.19,
806,0.5110,CIB,3.98,0.27
849,0.5120,CIB,4.02,0.27
659,0.5130,CIB,4.18,
806,0.5160,CIB,3.89,0.26
849,0.5160,CIB,4.18,0.29
607,0.5168,CIB,4.53,0.46
659,0.5170,CIB,4.18,
849,0.5200,CIB,4.15,0.23
806,0.5210,CIB,3.75,0.34
659,0.5230,CIB,3.98,
849,0.5240,CIB,4.06,0.09
806,0.5250,CIB,3.70,0.18
659,0.5260,CIB,3.86,
849,0.5280,CIB,4.04,-0.06
607,0.5295,CIB,4.53,0.61
659,0.5300,CIB,3.86,
806,0.5310,CIB,3.92,-0.08
849,0.5320,CIB,4.20,-0.20
659,0.5350,CIB,4.19,
806,0.5360,CIB,3.77,-0.07
849,0.5360,CIB,4.27,-0.22
659,0.5400,CIB,4.45,
849,0.5400,CIB,4.28,-0.18
806,0.5410,CIB,4.33,-0.36
607,0.5422,CIB,4.28,0.02
849,0.5440,CIB,4.40,-0.20
659,0.5450,CIB,4.70,
